,age,workclass,education,marital.status,occupation,race,sex,native.country,income,partition
853,28-36,Local-gov,Doctorate,"Married-civ-spouse,Never-married,Divorced",Prof-specialty,White,"Male,Female","United-States,Mexico",>50K,17
7063,28-36,Local-gov,Doctorate,"Married-civ-spouse,Never-married,Divorced",Prof-specialty,White,"Male,Female","United-States,Mexico",>50K,17
31474,28-36,Local-gov,Doctorate,"Married-civ-spouse,Never-married,Divorced",Prof-specialty,White,"Male,Female","United-States,Mexico",<=50K,17
2109,32-36,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,White,"Female,Male",United-States,>50K,18
23722,32-36,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,White,"Female,Male",United-States,>50K,18
11890,24-32,State-gov,7th-8th,"Married-civ-spouse,Never-married","Handlers-cleaners,Tech-support",White,"Male,Female",United-States,<=50K,19
18232,24-32,State-gov,7th-8th,"Married-civ-spouse,Never-married","Handlers-cleaners,Tech-support",White,"Male,Female",United-States,<=50K,19
17231,23-31,State-gov,"5th-6th,Preschool",Never-married,"Transport-moving,Other-service",White,Male,United-States,<=50K,20
31891,23-31,State-gov,"5th-6th,Preschool",Never-married,"Transport-moving,Other-service",White,Male,United-States,<=50K,20
22658,32-36,State-gov,5th-6th,"Never-married,Married-civ-spouse","Machine-op-inspct,Other-service",White,"Female,Male","United-States,Mexico",<=50K,21
30646,32-36,State-gov,5th-6th,"Never-married,Married-civ-spouse","Machine-op-inspct,Other-service",White,"Female,Male","United-States,Mexico",<=50K,21
15423,29-35,Federal-gov,Bachelors,"Widowed,Married-AF-spouse,Separated","Adm-clerical,Prof-specialty",White,Male,United-States,>50K,22
30020,29-35,Federal-gov,Bachelors,"Widowed,Married-AF-spouse,Separated","Adm-clerical,Prof-specialty",White,Male,United-States,>50K,22
32219,29-35,Federal-gov,Bachelors,"Widowed,Married-AF-spouse,Separated","Adm-clerical,Prof-specialty",White,Male,United-States,<=50K,22
1253,17-18,Federal-gov,11th,Never-married,"Adm-clerical,Machine-op-inspct,Other-service","Black,White,Asian-Pac-Islander","Female,Male","United-States,Philippines",<=50K,23
27440,17-18,Federal-gov,11th,Never-married,"Adm-clerical,Machine-op-inspct,Other-service","Black,White,Asian-Pac-Islander","Female,Male","United-States,Philippines",<=50K,23
29768,17-18,Federal-gov,11th,Never-married,"Adm-clerical,Machine-op-inspct,Other-service","Black,White,Asian-Pac-Islander","Female,Male","United-States,Philippines",<=50K,23
11721,29-33,Federal-gov,Prof-school,Never-married,"Prof-specialty,Exec-managerial","White,Black","Female,Male","United-States,?",>50K,24
19908,29-33,Federal-gov,Prof-school,Never-married,"Prof-specialty,Exec-managerial","White,Black","Female,Male","United-States,?",<=50K,24
22831,29-33,Federal-gov,Prof-school,Never-married,"Prof-specialty,Exec-managerial","White,Black","Female,Male","United-States,?",<=50K,24
24768,29-33,Federal-gov,Prof-school,Never-married,"Prof-specialty,Exec-managerial","White,Black","Female,Male","United-States,?",<=50K,24
4250,30-35,Federal-gov,9th,Married-civ-spouse,"Farming-fishing,Tech-support","Black,White",Male,United-States,<=50K,25
5766,30-35,Federal-gov,9th,Married-civ-spouse,"Farming-fishing,Tech-support","Black,White",Male,United-States,<=50K,25
8541,19-34,Federal-gov,12th,"Never-married,Married-civ-spouse","Other-service,Adm-clerical,Armed-Forces","White,Black","Female,Male",United-States,<=50K,26
10004,19-34,Federal-gov,12th,"Never-married,Married-civ-spouse","Other-service,Adm-clerical,Armed-Forces","White,Black","Female,Male",United-States,<=50K,26
19934,19-34,Federal-gov,12th,"Never-married,Married-civ-spouse","Other-service,Adm-clerical,Armed-Forces","White,Black","Female,Male",United-States,<=50K,26
14668,30-36,?,Masters,Married-civ-spouse,?,White,Male,United-States,<=50K,27
20200,30-36,?,Masters,Married-civ-spouse,?,White,Male,United-States,>50K,27
3370,54-61,State-gov,12th,"Never-married,Married-civ-spouse,Divorced","Other-service,Craft-repair",White,"Male,Female",United-States,<=50K,28
15427,54-61,State-gov,12th,"Never-married,Married-civ-spouse,Divorced","Other-service,Craft-repair",White,"Male,Female",United-States,<=50K,28
30550,54-61,State-gov,12th,"Never-married,Married-civ-spouse,Divorced","Other-service,Craft-repair",White,"Male,Female",United-States,<=50K,28
7938,48-64,Federal-gov,7th-8th,"Widowed,Married-spouse-absent","Other-service,Handlers-cleaners",White,"Female,Male","Puerto-Rico,United-States",<=50K,29
14763,48-64,Federal-gov,7th-8th,"Widowed,Married-spouse-absent","Other-service,Handlers-cleaners",White,"Female,Male","Puerto-Rico,United-States",<=50K,29
16627,42-64,Self-emp-inc,1st-4th,Married-civ-spouse,Sales,White,Male,"?,United-States",<=50K,30
24289,42-64,Self-emp-inc,1st-4th,Married-civ-spouse,Sales,White,Male,"?,United-States",<=50K,30
4424,41-53,Local-gov,Preschool,"Never-married,Married-civ-spouse","Machine-op-inspct,Other-service,Handlers-cleaners",White,"Female,Male",United-States,<=50K,31
5042,41-53,Local-gov,Preschool,"Never-married,Married-civ-spouse","Machine-op-inspct,Other-service,Handlers-cleaners",White,"Female,Male",United-States,<=50K,31
23203,41-53,Local-gov,Preschool,"Never-married,Married-civ-spouse","Machine-op-inspct,Other-service,Handlers-cleaners",White,"Female,Male",United-States,<=50K,31
20690,30-31,Self-emp-not-inc,Masters,"Separated,Divorced","Tech-support,Prof-specialty","White,Asian-Pac-Islander","Female,Male","United-States,India",<=50K,32
29291,30-31,Self-emp-not-inc,Masters,"Separated,Divorced","Tech-support,Prof-specialty","White,Asian-Pac-Islander","Female,Male","United-States,India",>50K,32
10425,19-25,Self-emp-not-inc,9th,Never-married,"Craft-repair,Prof-specialty",White,Male,"United-States,Mexico",<=50K,33
18149,19-25,Self-emp-not-inc,9th,Never-married,"Craft-repair,Prof-specialty",White,Male,"United-States,Mexico",<=50K,33
8977,19-32,Self-emp-not-inc,10th,"Married-spouse-absent,Divorced","Adm-clerical,Craft-repair","Amer-Indian-Eskimo,White","Female,Male",United-States,<=50K,34
17437,19-32,Self-emp-not-inc,10th,"Married-spouse-absent,Divorced","Adm-clerical,Craft-repair","Amer-Indian-Eskimo,White","Female,Male",United-States,<=50K,34
28954,19-32,Self-emp-not-inc,10th,"Married-spouse-absent,Divorced","Adm-clerical,Craft-repair","Amer-Indian-Eskimo,White","Female,Male",United-States,<=50K,34
13240,28-33,Self-emp-not-inc,5th-6th,Married-civ-spouse,"Craft-repair,Handlers-cleaners",White,Male,"United-States,Mexico",>50K,35
28043,28-33,Self-emp-not-inc,5th-6th,Married-civ-spouse,"Craft-repair,Handlers-cleaners",White,Male,"United-States,Mexico",<=50K,35
29243,35-36,Self-emp-not-inc,5th-6th,Married-civ-spouse,"Other-service,Transport-moving",White,"Female,Male",Mexico,<=50K,36
29303,35-36,Self-emp-not-inc,5th-6th,Married-civ-spouse,"Other-service,Transport-moving",White,"Female,Male",Mexico,>50K,36
8910,26-34,Local-gov,Masters,"Married-spouse-absent,Widowed,Separated",Prof-specialty,White,Female,United-States,<=50K,37
12211,26-34,Local-gov,Masters,"Married-spouse-absent,Widowed,Separated",Prof-specialty,White,Female,United-States,<=50K,37
27128,26-34,Local-gov,Masters,"Married-spouse-absent,Widowed,Separated",Prof-specialty,White,Female,United-States,<=50K,37
4302,18-31,Local-gov,7th-8th,"Married-civ-spouse,Never-married",Farming-fishing,White,Male,United-States,<=50K,38
22286,18-31,Local-gov,7th-8th,"Married-civ-spouse,Never-married",Farming-fishing,White,Male,United-States,<=50K,38
6000,30-32,Local-gov,7th-8th,Married-civ-spouse,"Transport-moving,Other-service",White,Male,United-States,<=50K,39
8184,30-32,Local-gov,7th-8th,Married-civ-spouse,"Transport-moving,Other-service",White,Male,United-States,<=50K,39
24284,23-29,Local-gov,11th,"Married-civ-spouse,Divorced","Craft-repair,Handlers-cleaners,Other-service","White,Black","Male,Female","Mexico,United-States",<=50K,40
24591,23-29,Local-gov,11th,"Married-civ-spouse,Divorced","Craft-repair,Handlers-cleaners,Other-service","White,Black","Male,Female","Mexico,United-States",<=50K,40
27657,23-29,Local-gov,11th,"Married-civ-spouse,Divorced","Craft-repair,Handlers-cleaners,Other-service","White,Black","Male,Female","Mexico,United-States",<=50K,40
5541,17-34,Local-gov,9th,Never-married,Other-service,"Black,White",Male,United-States,<=50K,41
8492,17-34,Local-gov,9th,Never-married,Other-service,"Black,White",Male,United-States,<=50K,41
31107,17-34,Local-gov,9th,Never-married,Other-service,"Black,White",Male,United-States,<=50K,41
15926,28-36,Local-gov,9th,Married-civ-spouse,Craft-repair,"White,Black",Male,"United-States,Trinadad&Tobago",<=50K,42
29499,28-36,Local-gov,9th,Married-civ-spouse,Craft-repair,"White,Black",Male,"United-States,Trinadad&Tobago",>50K,42
6204,28-29,Local-gov,Prof-school,"Never-married,Married-civ-spouse",Prof-specialty,White,"Female,Male",United-States,<=50K,43
26132,28-29,Local-gov,Prof-school,"Never-married,Married-civ-spouse",Prof-specialty,White,"Female,Male",United-States,<=50K,43
14441,31-34,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K,44
26768,31-34,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K,44
6413,18,Local-gov,12th,Never-married,"Protective-serv,Prof-specialty",White,Male,United-States,<=50K,45
6664,18,Local-gov,12th,Never-married,"Protective-serv,Prof-specialty",White,Male,United-States,<=50K,45
8495,31-35,State-gov,Assoc-acdm,"Separated,Widowed","Other-service,Exec-managerial","Black,White",Female,United-States,<=50K,46
20631,31-35,State-gov,Assoc-acdm,"Separated,Widowed","Other-service,Exec-managerial","Black,White",Female,United-States,<=50K,46
13762,26-36,State-gov,Assoc-voc,"Divorced,Married-spouse-absent","Exec-managerial,Adm-clerical,Protective-serv",White,"Female,Male","United-States,Germany",<=50K,47
24150,26-36,State-gov,Assoc-voc,"Divorced,Married-spouse-absent","Exec-managerial,Adm-clerical,Protective-serv",White,"Female,Male","United-States,Germany",<=50K,47
25895,26-36,State-gov,Assoc-voc,"Divorced,Married-spouse-absent","Exec-managerial,Adm-clerical,Protective-serv",White,"Female,Male","United-States,Germany",<=50K,47
3900,26-36,State-gov,Prof-school,"Never-married,Divorced",Prof-specialty,Asian-Pac-Islander,"Male,Female","India,Philippines",<=50K,48
23306,26-36,State-gov,Prof-school,"Never-married,Divorced",Prof-specialty,Asian-Pac-Islander,"Male,Female","India,Philippines",<=50K,48
5394,27-36,State-gov,Prof-school,Never-married,Prof-specialty,White,Male,United-States,<=50K,49
17491,27-36,State-gov,Prof-school,Never-married,Prof-specialty,White,Male,United-States,<=50K,49
31760,27-36,State-gov,Prof-school,Never-married,Prof-specialty,White,Male,United-States,<=50K,49
31877,27-36,State-gov,Prof-school,Never-married,Prof-specialty,White,Male,United-States,<=50K,49
12272,26-30,State-gov,11th,"Divorced,Married-civ-spouse","Other-service,Transport-moving",White,"Female,Male",United-States,<=50K,50
31574,26-30,State-gov,11th,"Divorced,Married-civ-spouse","Other-service,Transport-moving",White,"Female,Male",United-States,<=50K,50
14465,31,State-gov,12th,Married-civ-spouse,"Other-service,Tech-support",White,Female,United-States,<=50K,51
19798,31,State-gov,12th,Married-civ-spouse,"Other-service,Tech-support",White,Female,United-States,>50K,51
11274,17-29,State-gov,10th,Never-married,"Farming-fishing,Other-service","White,Black","Male,Female",United-States,<=50K,52
16493,17-29,State-gov,10th,Never-married,"Farming-fishing,Other-service","White,Black","Male,Female",United-States,<=50K,52
25637,17-29,State-gov,10th,Never-married,"Farming-fishing,Other-service","White,Black","Male,Female",United-States,<=50K,52
12086,30-33,State-gov,10th,Married-civ-spouse,"Adm-clerical,Handlers-cleaners,Other-service",White,Male,United-States,<=50K,53
13148,30-33,State-gov,10th,Married-civ-spouse,"Adm-clerical,Handlers-cleaners,Other-service",White,Male,United-States,<=50K,53
22037,30-33,State-gov,10th,Married-civ-spouse,"Adm-clerical,Handlers-cleaners,Other-service",White,Male,United-States,<=50K,53
1436,26-36,Federal-gov,Masters,Never-married,"Prof-specialty,Exec-managerial",White,Male,United-States,<=50K,54
2331,26-36,Federal-gov,Masters,Never-married,"Prof-specialty,Exec-managerial",White,Male,United-States,>50K,54
12277,26-36,Federal-gov,Masters,Never-married,"Prof-specialty,Exec-managerial",White,Male,United-States,<=50K,54
6525,26-29,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,"Columbia,United-States",<=50K,55
11384,26-29,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,"Columbia,United-States",<=50K,55
7467,24-35,?,Bachelors,Divorced,?,White,"Female,Male","United-States,?",<=50K,56
14329,24-35,?,Bachelors,Divorced,?,White,"Female,Male","United-States,?",<=50K,56
20096,24-35,?,Bachelors,Divorced,?,White,"Female,Male","United-States,?",<=50K,56
25681,24-35,?,Bachelors,Divorced,?,White,"Female,Male","United-States,?",<=50K,56
30158,24-35,?,Bachelors,Divorced,?,White,"Female,Male","United-States,?",<=50K,56
25235,27-35,?,9th,"Separated,Married-civ-spouse",?,White,Female,United-States,<=50K,57
30196,27-35,?,9th,"Separated,Married-civ-spouse",?,White,Female,United-States,<=50K,57
18685,27-28,?,Masters,Never-married,?,"Black,Other",Female,"United-States,Japan",<=50K,58
32133,27-28,?,Masters,Never-married,?,"Black,Other",Female,"United-States,Japan",<=50K,58
8365,24-28,?,7th-8th,"Divorced,Married-civ-spouse",?,White,Male,United-States,<=50K,59
22909,24-28,?,7th-8th,"Divorced,Married-civ-spouse",?,White,Male,United-States,<=50K,59
9422,29-34,?,"Doctorate,7th-8th","Married-civ-spouse,Separated",?,"White,Black","Male,Female","United-States,Guatemala",>50K,60
11050,29-34,?,"Doctorate,7th-8th","Married-civ-spouse,Separated",?,"White,Black","Male,Female","United-States,Guatemala",<=50K,60
32158,29-34,?,"Doctorate,7th-8th","Married-civ-spouse,Separated",?,"White,Black","Male,Female","United-States,Guatemala",<=50K,60
9558,22-27,?,5th-6th,Married-civ-spouse,?,"Other,White",Female,Mexico,<=50K,61
15796,22-27,?,5th-6th,Married-civ-spouse,?,"Other,White",Female,Mexico,<=50K,61
14089,29-30,?,5th-6th,Married-civ-spouse,?,White,"Male,Female","Mexico,United-States",<=50K,62
17274,29-30,?,5th-6th,Married-civ-spouse,?,White,"Male,Female","Mexico,United-States",<=50K,62
17773,25-32,?,5th-6th,Never-married,?,White,Female,"Mexico,El-Salvador",<=50K,63
29109,25-32,?,5th-6th,Never-married,?,White,Female,"Mexico,El-Salvador",<=50K,63
18214,23-29,?,"5th-6th,1st-4th",Never-married,?,"White,Asian-Pac-Islander",Male,"United-States,Philippines",<=50K,64
21256,23-29,?,"5th-6th,1st-4th",Never-married,?,"White,Asian-Pac-Islander",Male,"United-States,Philippines",<=50K,64
753,33-36,Self-emp-inc,Assoc-acdm,Married-civ-spouse,"Exec-managerial,Sales",White,Male,United-States,>50K,65
842,33-36,Self-emp-inc,Assoc-acdm,Married-civ-spouse,"Exec-managerial,Sales",White,Male,United-States,>50K,65
7292,33-36,Self-emp-inc,Assoc-acdm,Married-civ-spouse,"Exec-managerial,Sales",White,Male,United-States,>50K,65
18723,34-36,Self-emp-inc,Assoc-acdm,Married-civ-spouse,"Adm-clerical,Prof-specialty",White,"Female,Male",United-States,<=50K,66
32036,34-36,Self-emp-inc,Assoc-acdm,Married-civ-spouse,"Adm-clerical,Prof-specialty",White,"Female,Male",United-States,<=50K,66
7708,25-29,Self-emp-inc,Assoc-acdm,Never-married,"Sales,Prof-specialty","White,Black","Male,Female",United-States,<=50K,67
15311,25-29,Self-emp-inc,Assoc-acdm,Never-married,"Sales,Prof-specialty","White,Black","Male,Female",United-States,<=50K,67
7047,35-36,Self-emp-inc,Assoc-acdm,"Separated,Never-married","Exec-managerial,Sales",White,Male,United-States,<=50K,68
16444,35-36,Self-emp-inc,Assoc-acdm,"Separated,Never-married","Exec-managerial,Sales",White,Male,United-States,<=50K,68
11282,29-32,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K,69
31010,29-32,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K,69
1832,34-36,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K,70
18371,34-36,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K,70
27630,34-36,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K,70
3192,27-34,Self-emp-inc,Masters,"Separated,Never-married","Prof-specialty,Exec-managerial,Transport-moving",White,"Female,Male","United-States,France",>50K,71
3199,27-34,Self-emp-inc,Masters,"Separated,Never-married","Prof-specialty,Exec-managerial,Transport-moving",White,"Female,Male","United-States,France",>50K,71
17334,27-34,Self-emp-inc,Masters,"Separated,Never-married","Prof-specialty,Exec-managerial,Transport-moving",White,"Female,Male","United-States,France",<=50K,71
5523,17-28,Self-emp-inc,11th,"Married-civ-spouse,Never-married","Craft-repair,Prof-specialty",White,Male,United-States,>50K,72
7226,17-28,Self-emp-inc,11th,"Married-civ-spouse,Never-married","Craft-repair,Prof-specialty",White,Male,United-States,<=50K,72
9532,18,Self-emp-inc,11th,Never-married,"Farming-fishing,Sales",White,Male,United-States,<=50K,73
24035,18,Self-emp-inc,11th,Never-married,"Farming-fishing,Sales",White,Male,United-States,<=50K,73
30607,18,Self-emp-inc,11th,Never-married,"Farming-fishing,Sales",White,Male,United-States,<=50K,73
12062,31-32,Self-emp-inc,Doctorate,Never-married,Prof-specialty,White,Male,United-States,<=50K,74
12979,31-32,Self-emp-inc,Doctorate,Never-married,Prof-specialty,White,Male,United-States,<=50K,74
12971,29-33,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,"Cuba,United-States",>50K,75
14727,29-33,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,"Cuba,United-States",<=50K,75
18961,29-33,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,"Cuba,United-States",>50K,75
12773,17,Self-emp-inc,10th,Never-married,Other-service,"White,Black",Male,United-States,<=50K,76
16660,17,Self-emp-inc,10th,Never-married,Other-service,"White,Black",Male,United-States,<=50K,76
16866,17,Self-emp-inc,10th,Never-married,"Craft-repair,Sales",White,Male,United-States,<=50K,77
19962,17,Self-emp-inc,10th,Never-married,"Craft-repair,Sales",White,Male,United-States,<=50K,77
20548,17,Self-emp-inc,10th,Never-married,"Craft-repair,Sales",White,Male,United-States,<=50K,77
14,51-75,?,Doctorate,Never-married,?,White,Male,United-States,>50K,78
19289,51-75,?,Doctorate,Never-married,?,White,Male,United-States,<=50K,78
12604,38-69,?,Prof-school,"Married-spouse-absent,Divorced",?,"Asian-Pac-Islander,White","Female,Male","Vietnam,United-States",<=50K,79
23208,38-69,?,Prof-school,"Married-spouse-absent,Divorced",?,"Asian-Pac-Islander,White","Female,Male","Vietnam,United-States",<=50K,79
26458,38-69,?,Prof-school,"Married-spouse-absent,Divorced",?,"Asian-Pac-Islander,White","Female,Male","Vietnam,United-States",<=50K,79
23703,51-90,?,1st-4th,"Separated,Widowed,Married-spouse-absent",?,"White,Black,Amer-Indian-Eskimo","Female,Male","Mexico,United-States",<=50K,80
25339,51-90,?,1st-4th,"Separated,Widowed,Married-spouse-absent",?,"White,Black,Amer-Indian-Eskimo","Female,Male","Mexico,United-States",<=50K,80
32078,51-90,?,1st-4th,"Separated,Widowed,Married-spouse-absent",?,"White,Black,Amer-Indian-Eskimo","Female,Male","Mexico,United-States",<=50K,80
7336,39-54,?,Preschool,"Widowed,Married-civ-spouse",?,White,Female,"El-Salvador,Mexico",<=50K,81
11268,39-54,?,Preschool,"Widowed,Married-civ-spouse",?,White,Female,"El-Salvador,Mexico",<=50K,81
10465,52-65,?,Preschool,"Married-civ-spouse,Married-spouse-absent",?,"White,Black",Male,"United-States,Mexico",<=50K,82
11276,52-65,?,Preschool,"Married-civ-spouse,Married-spouse-absent",?,"White,Black",Male,"United-States,Mexico",<=50K,82
14432,52-65,?,Preschool,"Married-civ-spouse,Married-spouse-absent",?,"White,Black",Male,"United-States,Mexico",<=50K,82
10245,38-62,State-gov,Assoc-acdm,"Married-spouse-absent,Never-married,Widowed","Other-service,Exec-managerial,Prof-specialty",White,"Female,Male",United-States,<=50K,83
13972,38-62,State-gov,Assoc-acdm,"Married-spouse-absent,Never-married,Widowed","Other-service,Exec-managerial,Prof-specialty",White,"Female,Male",United-States,<=50K,83
19558,38-62,State-gov,Assoc-acdm,"Married-spouse-absent,Never-married,Widowed","Other-service,Exec-managerial,Prof-specialty",White,"Female,Male",United-States,<=50K,83
14868,40-64,State-gov,9th,"Separated,Never-married","Machine-op-inspct,Adm-clerical","Black,White","Male,Female",United-States,<=50K,84
16114,40-64,State-gov,9th,"Separated,Never-married","Machine-op-inspct,Adm-clerical","Black,White","Male,Female",United-States,<=50K,84
16457,40-61,State-gov,11th,"Divorced,Widowed","Transport-moving,Other-service",White,Female,United-States,<=50K,85
17791,40-61,State-gov,11th,"Divorced,Widowed","Transport-moving,Other-service",White,Female,United-States,>50K,85
8249,61-66,State-gov,10th,"Divorced,Never-married",Other-service,Black,Female,United-States,<=50K,86
14452,61-66,State-gov,10th,"Divorced,Never-married",Other-service,Black,Female,United-States,<=50K,86
24919,46-74,State-gov,7th-8th,"Never-married,Widowed","Other-service,Handlers-cleaners","Black,White",Female,United-States,<=50K,87
25160,46-74,State-gov,7th-8th,"Never-married,Widowed","Other-service,Handlers-cleaners","Black,White",Female,United-States,<=50K,87
26775,46-74,State-gov,7th-8th,"Never-married,Widowed","Other-service,Handlers-cleaners","Black,White",Female,United-States,<=50K,87
